index,Age,Sex,Job,Housing,Saving accounts,Credit amount,Duration,Purpose,Risk
1,22,female,2,own,little,5951,48,radio/TV,bad
2,49,male,1,own,little,2096,12,education,good
3,45,male,2,free,little,7882,42,furniture/equipment,good
4,53,male,2,free,little,4870,24,car,bad
6,53,male,2,own,quite rich,2835,24,furniture/equipment,good
7,35,male,3,rent,little,6948,36,car,good
8,61,male,1,own,rich,3059,12,radio/TV,good
9,28,male,3,own,little,5234,30,car,bad
10,25,female,2,rent,little,1295,12,car,bad
11,24,female,2,rent,little,4308,48,business,bad
12,22,female,2,own,little,1567,12,radio/TV,good
13,60,male,1,own,little,1199,24,car,bad
14,28,female,2,rent,little,1403,15,car,good
15,32,female,1,own,moderate,1282,24,radio/TV,bad
18,44,female,3,free,little,12579,24,car,bad
19,31,male,2,own,quite rich,3430,24,radio/TV,good
20,48,male,2,own,little,2134,9,car,good
21,44,male,2,rent,quite rich,2647,6,radio/TV,good
22,48,male,1,rent,little,2241,10,car,good
23,44,male,2,own,moderate,1804,12,car,good
25,36,male,1,own,little,1374,6,furniture/equipment,good
26,39,male,1,own,little,426,6,radio/TV,good
27,42,female,2,rent,rich,409,12,radio/TV,good
28,34,male,2,own,little,2415,7,radio/TV,good
29,63,male,2,own,little,6836,60,business,bad
30,36,male,2,own,rich,1913,18,business,good
31,27,male,2,own,little,4020,24,furniture/equipment,good
32,30,male,2,own,moderate,5866,18,car,good
34,33,female,3,own,little,1474,12,furniture/equipment,good
35,25,male,1,own,little,4746,45,radio/TV,bad
36,31,male,2,free,little,6110,48,education,good
37,37,male,2,own,little,2100,18,radio/TV,bad
38,37,male,2,own,little,1225,10,domestic appliances,good
39,24,male,2,own,little,458,9,radio/TV,good
40,30,male,3,own,quite rich,2333,30,radio/TV,good
41,26,male,2,own,quite rich,1158,12,radio/TV,good
42,44,male,1,own,little,6204,18,repairs,good
43,24,male,2,rent,moderate,6187,30,car,good
44,58,female,1,free,little,6143,48,car,bad
45,35,female,3,own,little,1393,11,car,good
46,39,male,2,own,quite rich,2299,36,radio/TV,good
47,23,female,0,rent,quite rich,1352,6,car,good
48,39,male,1,own,little,7228,11,car,good
49,28,female,2,own,moderate,2073,12,radio/TV,good
51,30,male,3,own,little,5965,27,car,good
52,25,male,2,own,little,1262,12,radio/TV,good
54,57,male,2,free,little,2225,36,car,bad
57,31,female,2,own,little,9566,36,radio/TV,good
58,23,female,3,own,little,1961,18,car,good
59,23,female,1,rent,little,6229,36,furniture/equipment,bad
60,27,male,2,own,little,1391,9,business,good
62,61,male,3,free,little,1953,36,business,bad
63,25,male,2,own,little,14421,48,business,bad
64,26,female,2,own,little,3181,24,radio/TV,good
66,29,female,2,own,little,2171,12,radio/TV,good
67,22,male,2,own,rich,1007,12,car,good
68,37,male,2,free,little,1819,36,education,bad
70,30,female,2,own,little,8133,36,car,good
72,51,male,3,free,little,1164,8,vacation/others,good
73,41,female,1,own,little,5954,42,business,good
75,66,male,3,free,little,1526,12,car,good
76,34,male,2,own,little,3965,42,radio/TV,bad
77,51,male,2,own,little,4771,11,radio/TV,good
79,22,male,2,own,little,3832,30,furniture/equipment,good
81,47,male,2,own,quite rich,1213,15,radio/TV,good
82,24,female,1,rent,moderate,1568,18,business,good
83,58,female,1,own,little,1755,24,vacation/others,good
84,52,male,1,own,little,2315,10,radio/TV,good
85,29,female,3,own,little,1412,12,business,good
86,27,female,2,own,little,1295,18,furniture/equipment,good
87,47,male,2,free,moderate,12612,36,education,bad
88,30,male,3,own,moderate,2249,18,car,good
89,28,male,2,own,little,1108,12,repairs,bad
90,56,male,2,own,little,618,12,radio/TV,good
91,54,male,2,own,little,1409,12,car,good
94,54,male,2,own,rich,1318,12,car,good
95,58,male,2,rent,little,15945,54,business,bad
97,34,male,2,own,moderate,2622,18,business,good
98,36,male,2,own,little,2337,36,radio/TV,good
